"homograph"	"wordid"	"sentence"	"start"	"end"
"construct"	"construct_vrb"	"Can you construct a solid argument for your position on this issue?"	8	17
"construct"	"construct_vrb"	"They hired a team of contractors to construct their office from scratch."	36	45
"construct"	"construct_vrb"	"Architects will construct a sustainable community center using recycled materials."	16	25
"consummate"	"consummate_adj"	"The company hired a consummate marketing expert to revamp their brand image."	20	30
"consummate"	"consummate_adj"	"She was a consummate professional, always delivering high-quality work on time."	10	20
"consummate"	"consummate_adj"	"Despite facing challenges, they demonstrated consummate resilience and persevered through difficult times."	45	55
"consummate"	"consummate_adj"	"The chef created a consummate dining experience, with each course more delicious than the last."	19	29
"consummate"	"consummate_adj"	"Her consummate organizational skills allowed her to manage multiple projects simultaneously with ease."	4	14
"consummate"	"consummate_vrb"	"The couple decided to consummate their love in a private ceremony on the beach."	22	32
"consummate"	"consummate_vrb"	"Despite setbacks, they managed to consummate their project within the given deadline."	34	44
"consummate"	"consummate_vrb"	"Her dedication to music led her to consummate her skills as a virtuoso violinist."	35	45
"consummate"	"consummate_vrb"	"The team worked tirelessly to consummate their victory in the championship game."	30	40
"consummate"	"consummate_vrb"	"He was determined to consummate his training by winning the marathon at the Olympics."	21	31
"content"	"content_adj-nou-vrb"	"It took me weeks to write, but I'm finally content with this essay."	43	50
"content"	"content_adj-nou-vrb"	"He was content to spend his days fishing by the river."	7	14
"content"	"content_adj-nou-vrb"	"A good night's sleep left me feeling refreshed and content."	51	58
"content"	"content_adj-nou-vrb"	"She tried her best to content her baby by singing lullabies."	22	29
"content"	"content_adj-nou-vrb"	"He watched their children play happily together in content."	51	58
"content"	"content_nou"	"It took him hours to write and edit the content of the lecture."	40	47
"content"	"content_nou"	"The website's content was well-organized and easy to navigate."	14	21
"content"	"content_nou"	"The content of her speech was thought-provoking and engaging."	4	11
"content"	"content_nou"	"They created a YouTube channel focused on sharing educational content."	62	69
"content"	"content_nou"	"The teacher values fostering critical thinking skills alongside factual content absorption."	72	79
"contest"	"contest_nou"	"Employees were encouraged to participate in the sales contest to boost numbers."	54	61
"contest"	"contest_nou"	"The school held an essay contest for students in grades six through eight."	25	32
"contest"	"contest_nou"	"Online users were invited to submit jokes for a comedy contest."	55	62
"contest"	"contest_nou"	"Have you seen the poster advertising the poetry contest?"	48	55
"contest"	"contest_nou"	"Several artists submitted paintings to the art contest."	47	54
"contest"	"contest_vrb"	"The politician's comments sparked widespread protests and calls for him to contest his seat."	75	82
"contest"	"contest_vrb"	"The two candidates contest neck-and-neck in the race."	19	26
"contest"	"contest_vrb"	"She decided to contest the election results."	15	22
"contest"	"contest_vrb"	"His opponents were fierce, but he managed to successfully contest their arguments."	58	65
"contest"	"contest_vrb"	"The two political parties are set to contest the upcoming elections."	37	44
"contract"	"contract_nou"	"After reviewing the contract, she decided to seek legal advice."	20	28
"contract"	"contract_nou"	"My brother is studying law to become a specialist in business contract negotiation."	62	70
"contract"	"contract_nou"	"The real estate agents presented us with a contract for purchasing our dream house."	43	51
"contract"	"contract_nou"	"The athlete negotiated a lucrative contract extension with her team."	35	43
"contract"	"contract_nou"	"The builder and homeowner signed a contract outlining the scope of work and timeline."	35	43
"contract"	"contract_vrb"	"After negotiations fell through, they decided not to contract with each other."	53	61
"contract"	"contract_vrb"	"We can contract this job out to independent contractors if necessary."	7	15
"contract"	"contract_vrb"	"It's possible to contract rabies if you get bitten by an infected animal."	17	25
"contract"	"contract_vrb"	"Get vaccinated, or you may contract a flu."	27	35
"contract"	"contract_vrb"	"Cats contract their pupils in bright light."	5	13
"contrast"	"contrast_nou"	"The harsh reality of his situation was a sharp contrast to the dreams he had for his future."	47	55
"contrast"	"contrast_nou"	"Their love story was one of passionate romance amidst the bleak backdrop of war, offering a poignant contrast to the horrors around them."	101	109
"contrast"	"contrast_nou"	"In contrast to his brother, John is outgoing and sociable."	3	11
"contrast"	"contrast_nou"	"The soft music created a soothing contrast to the chaos of the busy street outside."	34	42
"contrast"	"contrast_nou"	"The stillness of the night was broken by the sudden sound of footsteps echoing through the empty alleyway, providing a startling contrast."	129	137
"contrast"	"contrast_vrb"	"The photographer adjusted the lighting to contrast the subject's face with the background."	42	50
"contrast"	"contrast_vrb"	"The architects designed the building's façade to contrast sharply with the surrounding landscape."	50	58
"contrast"	"contrast_vrb"	"Students were asked to compare and contrast two different historical events."	35	43
"contrast"	"contrast_vrb"	"We need to contrast this year’s sales figures against last year's to see how our business is growing."	11	19
"contrast"	"contrast_vrb"	"His conservative views contrast starkly with those of his liberal colleagues."	23	31
"converse"	"converse_adj-nou"	"The converse side of the argument is that taxes should be lowered to stimulate economic growth."	4	12
"converse"	"converse_adj-nou"	"I think we can all agree that the converse viewpoint has some merit too."	34	42
"converse"	"converse_adj-nou"	"The rapid pace of our company is the converse of my previous slow-paced jobs."	37	45
"converse"	"converse_adj-nou"	"I had an interesting converse with the stranger at the bar last night."	21	29
"converse"	"converse_adj-nou"	"She bought a new pair of Converse shoes."	25	33
"converse"	"converse_vrb"	"It was difficult to converse during the loud party."	20	28
"converse"	"converse_vrb"	"The politicians converse in private before making a public statement."	16	24
"converse"	"converse_vrb"	"He tends to dominate conversations and not let others converse equally."	54	62
"converse"	"converse_vrb"	"While walking on the beach, they started to converse."	44	52
"converse"	"converse_vrb"	"I converse regularly with my mentor to get career advice."	2	10
"convert"	"convert_nou"	"He became a convert to Buddhism after a spiritual retreat."	12	19
"convert"	"convert_nou"	"It was difficult at first, but he eventually found peace as a convert to Judaism."	62	69
"convert"	"convert_nou"	"He was once an atheist but is now a devout convert to Christianity."	43	50
"convert"	"convert_nou"	"She became an avid convert to meditation practice."	19	26
"convert"	"convert_nou"	"It's not easy being a convert - you face so much criticism from those around you."	22	29
"convert"	"convert_vrb"	"He tried to convert his friends to his new religion but they refused."	12	19
"convert"	"convert_vrb"	"To convert the units from Celsius to Fahrenheit, we need to multiply by 9/5 and then add 32."	3	10
"convert"	"convert_vrb"	"Scientists have found ways to convert carbon dioxide into oxygen using algae."	30	37
"convert"	"convert_vrb"	"If possible, try to convert long trips into opportunities for sightseeing or cultural experiences."	20	27
"convert"	"convert_vrb"	"The government has been working to convert all public records into digital formats."	35	42
"convict"	"convict_nou"	"With good behavior, the convict could be eligible for early release next year."	24	31
"convict"	"convict_nou"	"After serving ten years for armed robbery, the convict was finally released on parole."	47	54
"convict"	"convict_nou"	"Job opportunities were scarce for ex-cons like the convict trying to rebuild their lives."	51	58
"convict"	"convict_nou"	"Despite overwhelming evidence against him, the convict maintained his innocence throughout the trial."	47	54
"convict"	"convict_nou"	"A lifetime of crime culminated in the convict's eventual capture and imprisonment."	38	45
"convict"	"convict_vrb"	"In exchange for his cooperation, the district attorney agreed not to convict him."	69	76
"convict"	"convict_vrb"	"Since no one saw the accident happen, it proved impossible to convict anyone of wrongdoing."	62	69
"convict"	"convict_vrb"	"In the end, they decided not to convict her due to lack of concrete proof."	32	39
"convict"	"convict_vrb"	"Officials extradited him back home so that state courts could try and convict him for crimes committed there."	70	77
"convict"	"convict_vrb"	"The government successfully convinced the jury to convict the terrorist."	50	57
"coordinate"	"coordinate_adj-nou"	"The company's new headquarters is located at the coordinate (45.6789, -123.456)."	49	59
"coordinate"	"coordinate_adj-nou"	"The app uses your phone's GPS to provide you with real-time traffic updates and directions based on your current coordinate."	113	123
"coordinate"	"coordinate_adj-nou"	"Consider whether there exists another point whose first coordinate is the same but the second one is different."	56	66
"coordinate"	"coordinate_adj-nou"	"Coordinate planes have two perpendicular axes to represent spatial relationships."	0	10
"coordinate"	"coordinate_adj-nou"	"A coordinate clause is one that presents two equal ideas side by side."	2	12
"coordinate"	"coordinate_vrb"	"It's your turn to coordinate snacks for our child's sports game this weekend."	18	28
"coordinate"	"coordinate_vrb"	"Coordinate the delivery of the packages with the shipping department."	0	10
"coordinate"	"coordinate_vrb"	"The school counselor helped coordinate financial aid applications for college-bound seniors."	28	38
"coordinate"	"coordinate_vrb"	"We need someone who can effectively coordinate all aspects of the marketing campaign."	36	46
"coordinate"	"coordinate_vrb"	"The teacher asked the students to coordinate their schedules for the group presentation."	34	44
"correlate"	"correlate_nou"	"A higher body mass index was strongly associated with increased risk of chronic diseases, making it an important correlate of public health concerns."	113	122
"correlate"	"correlate_nou"	"Smoking is a well-established correlate of lung cancer, but other factors may also play a role."	30	39
"correlate"	"correlate_nou"	"A positive correlate was identified between exercise frequency and overall well-being."	11	20
"correlate"	"correlate_nou"	"Ethnicity did not prove to be a statistically significant correlate of academic achievement in our analysis."	58	67
"correlate"	"correlate_nou"	"The team found climate change to be a key correlate of species extinction rates."	42	51
"correlate"	"correlate_nou-vrb"	"To identify trends, we need to look at long-term patterns and try to find things that correlate across multiple datasets."	86	95
"correlate"	"correlate_nou-vrb"	"Using demographic information, we can correlate buying habits with age groups."	38	47
"correlate"	"correlate_nou-vrb"	"They looked at demographic information such as age, gender, income level, and education level to see what might correlate with voting behavior."	112	121
"correlate"	"correlate_nou-vrb"	"The teacher asked students to correlate their test scores with the amount of time they spent studying."	30	39
"correlate"	"correlate_nou-vrb"	"It was difficult to correlate the symptoms she described with any known medical condition."	20	29
"decrease"	"decrease_nou"	"There has been a steady decrease in the number of people buying newspapers over the past decade."	24	32
"decrease"	"decrease_nou"	"The team struggled with injuries and player departures, leading to a decrease in performance on the field."	69	77
"decrease"	"decrease_nou"	"A decrease in demand led to a drop in prices."	2	10
"decrease"	"decrease_nou"	"The new diet resulted in a noticeable decrease in body weight."	38	46
"decrease"	"decrease_nou"	"To find the percentage decrease, we need to divide the difference by the original value."	23	31
"decrease"	"decrease_vrb"	"The government has implemented policies to decrease carbon emissions."	43	51
"decrease"	"decrease_vrb"	"The doctor recommended lifestyle changes to help decrease her patient's high blood pressure."	49	57
"decrease"	"decrease_vrb"	"I tried to decrease my screen time by setting limits on my phone usage."	11	19
"decrease"	"decrease_vrb"	"We need to decrease our expenses in order to stay within budget."	11	19
"decrease"	"decrease_vrb"	"The government plans to decrease taxes for low-income families."	24	32
"defect"	"defect_nou"	"After months of testing, they finally identified and fixed every hardware defect."	74	80
"defect"	"defect_nou"	"The company recalled the product due to a manufacturing defect."	56	62
"defect"	"defect_nou"	"A defect in the design caused the bridge to collapse during construction."	2	8
"defect"	"defect_nou"	"Engineers worked around the clock to repair the critical engine defect."	64	70
"defect"	"defect_nou"	"He had to return his new phone because it had a hardware defect."	57	63
"defect"	"defect_vrb"	"Her plan to defect to Canada was foiled when authorities caught wind of her intentions."	12	18
"defect"	"defect_vrb"	"After years of political persecution, Maria decided she had no choice but to try and defect to a safer country."	85	91
"defect"	"defect_vrb"	"As tensions between nations escalated, several high-ranking officials were suspected of planning to defect across enemy lines."	100	106
"defect"	"defect_vrb"	"Despite being raised in a traditional family, she chose to defect from societal norms and follow her dreams."	59	65
"defect"	"defect_vrb"	"Her boss accused her falsely, which led her to defect from work permanently due to emotional distress."	47	53
"degenerate"	"degenerate_adj-nou"	"In order to avoid seeming like a degenerate person, she always made sure to wear clean socks when leaving the house."	33	43
"degenerate"	"degenerate_adj-nou"	"The company's financial practices were described by some as degenerate and unethical."	60	70
"degenerate"	"degenerate_adj-nou"	"The degenerate triangle has zero area and is not a valid geometric shape."	4	14
"degenerate"	"degenerate_adj-nou"	"When subjected to intense magnetic fields, some materials exhibit unusual properties called degenerate semiconductor behavior."	92	102
"degenerate"	"degenerate_adj-nou"	"The degenerate cells in the tumor had lost their normal function and were growing uncontrollably."	4	14
"degenerate"	"degenerate_vrb"	"When people do not care for themselves physically, mentally, emotionally - all aspects of their being tend to degenerate."	110	120
"degenerate"	"degenerate_vrb"	"Her mental health issues caused her relationships to degenerate until she felt completely isolated from friends and family."	53	63
"degenerate"	"degenerate_vrb"	"Without enough exercise, muscle mass can degenerate over time leading some older adults becoming frail."	41	51
"degenerate"	"degenerate_vrb"	"As the night wore on, the partygoers began to degenerate into rowdy and disorderly behavior."	46	56
"degenerate"	"degenerate_vrb"	"The athlete's knee injury caused her performance to degenerate significantly."	52	62
"delegate"	"delegate_nou"	"Each department was asked to select a delegate to attend the all-hands meeting."	38	46
"delegate"	"delegate_nou"	"My boss assigned me to act as a delegate for our team at the quarterly planning meetings."	32	40
"delegate"	"delegate_nou"	"The team leader designated John as their delegate for the meeting."	41	49
"delegate"	"delegate_nou"	"I volunteered to be a delegate for my community group's political action committee."	22	30
"delegate"	"delegate_nou"	"In this roleplaying game, each player takes on the character of a delegate from a different fantasy kingdom."	66	74
"delegate"	"delegate_vrb"	"You should delegate your assistant to handle correspondence while you focus on strategy."	11	19
"delegate"	"delegate_vrb"	"They decided to delegate decision-making power to a smaller committee for efficiency's sake."	16	24
"delegate"	"delegate_vrb"	"His lack of trust in others made it difficult for him to delegate important assignments."	57	65
"delegate"	"delegate_vrb"	"Effective leaders know how to delegate effectively without micromanaging or abdicating responsibilities."	30	38
"delegate"	"delegate_vrb"	"The government gave local authorities the power to delegate public services such as waste collection."	51	59
"deliberate"	"deliberate_adj"	"A deliberate attempt at humor fell flat in front of the conservative audience."	2	12
"deliberate"	"deliberate_adj"	"He practiced his speech until every sentence sounded deliberate and rehearsed."	53	63
"deliberate"	"deliberate_adj"	"She made a deliberate effort to avoid conflict, but it seemed to follow her wherever she went."	11	21
"deliberate"	"deliberate_adj"	"The artist created intricate patterns using deliberate brushstrokes."	44	54
"deliberate"	"deliberate_adj"	"The teacher encouraged students to take deliberate notes during class."	40	50
"deliberate"	"deliberate_vrb"	"It took them days to deliberate and finally decide on a course of action."	21	31
"deliberate"	"deliberate_vrb"	"The board of directors will deliberate on the merger tomorrow."	28	38
"deliberate"	"deliberate_vrb"	"The teacher asked students to deliberate in small groups before sharing their ideas with the class."	30	40
"deliberate"	"deliberate_vrb"	"We must deliberate carefully before taking action."	8	18
"deliberate"	"deliberate_vrb"	"We need to take some time to deliberate and discuss our options carefully."	29	39
"desert"	"desert_nou"	"A fierce storm swept across the desert, reducing visibility to near zero."	32	38
"desert"	"desert_nou"	"Crossing the desert proved to be one of the most challenging experiences of our lives."	13	19
"desert"	"desert_nou"	"Even though it seemed impossible, somehow plants managed to flourish despite being rooted in the arid desert soil."	102	108
"desert"	"desert_nou"	"Insects and reptiles were the only creatures brave enough to call the harsh desert home."	76	82
"desert"	"desert_nou"	"The hot desert winds howled around her, threatening to steal what little shade she had found."	8	14
"desert"	"desert_vrb"	"As a child, he would often desert his homework to play outside."	27	33
"desert"	"desert_vrb"	"In order to avoid paying taxes, some wealthy individuals choose to desert their country of origin."	67	73
"desert"	"desert_vrb"	"The soldiers were ordered to desert their posts and retreat to safety."	29	35
"desert"	"desert_vrb"	"As the storm approached, residents were advised to desert low-lying areas and seek higher ground."	51	57
"desert"	"desert_vrb"	"I wouldn't trust anyone who would desert a friend in need like that!"	34	40
"deviate"	"deviate_nou"	"A compassionate teacher offered extra help to a student falling behind, without stigmatizing him as a deviate."	102	109
"deviate"	"deviate_nou"	"The deviate in the group was always causing trouble by doing things differently."	4	11
"deviate"	"deviate_nou"	"My grandmother was considered a deviate in her community because she wore pants instead of dresses like all the other women."	32	39
"deviate"	"deviate_nou"	"After transitioning into a woman, John found it difficult to avoid being treated like a deviate."	88	95
"deviate"	"deviate_nou"	"Being identified as a sexual deviate made it difficult for him to find employment."	29	36
"deviate"	"deviate_vrb"	"Despite pressure from peers, he refused to deviate from his personal values during difficult situations."	43	50
"deviate"	"deviate_vrb"	"His unconventional approach to problem-solving has led him to deviate from established methods."	62	69
"deviate"	"deviate_vrb"	"The new employee struggled not to deviate from company policies and procedures."	34	41
"deviate"	"deviate_vrb"	"The company's new strategy will deviate significantly from previous plans."	32	39
"deviate"	"deviate_vrb"	"If we don't take action now, the climate will continue to deviate further from what is considered normal."	58	65
"diagnoses"	"diagnoses_nou"	"Accurate diagnoses rely heavily on thorough medical histories and physical exams."	9	18
"diagnoses"	"diagnoses_nou"	"Because they were triplets, their various diagnoses confused everyone who tried to keep track of which medication belonged to whom."	42	51
"diagnoses"	"diagnoses_nou"	"Delayed diagnoses also pose serious problems for patients who need urgent care."	8	17
"diagnoses"	"diagnoses_nou"	"Doctors must communicate their diagnoses clearly so patients understand what lies ahead."	31	40
"diagnoses"	"diagnoses_nou"	"In some cases, doctors must revisit their initial diagnoses to ensure they were correct."	50	59
"diagnoses"	"diagnoses_vrb"	"The IT specialist diagnoses the computer's issue as a malware infection."	18	27
"diagnoses"	"diagnoses_vrb"	"The optometrist diagnoses the eye disorder to recommend corrective lenses."	16	25
"diagnoses"	"diagnoses_vrb"	"Following a thorough physical examination and review of the patient's medical history, the doctor diagnoses a severe case of arthritis."	98	107
"diagnoses"	"diagnoses_vrb"	"The knowledgeable automotive technician correctly diagnoses the issue with the vehicle and recommends the necessary repairs."	50	59
"diagnoses"	"diagnoses_vrb"	"A machine that diagnoses diseases accurately can be quite expensive."	15	24
"diffuse"	"diffuse_adj"	"A diffuse layer of fog blanketed the landscape early in the morning."	2	9
"diffuse"	"diffuse_adj"	"His words were so diffuse and vague that no one knew what he was trying to say."	18	25
"diffuse"	"diffuse_adj"	"The diffuse scent of jasmine filled the air."	4	11
"diffuse"	"diffuse_adj"	"The scent of freshly baked cookies wafted through the house in a diffuse cloud."	65	72
"diffuse"	"diffuse_adj"	"The tree branches spread out in a diffuse pattern, creating shade for picnickers below."	34	41
"diffuse"	"diffuse_vrb"	"A technique called pointillism can be used to create an image that would diffuse into a larger pattern when viewed from afar."	73	80
"diffuse"	"diffuse_vrb"	"The hostess made sure to diffuse a welcoming atmosphere, ensuring that all guests felt comfortable and relaxed."	25	32
"diffuse"	"diffuse_vrb"	"The organization aimed to diffuse knowledge about mental health issues among young people."	26	33
"diffuse"	"diffuse_vrb"	"His words were meant to inspire hope, but instead they seemed to diffuse fear and uncertainty among the crowd."	65	72
"diffuse"	"diffuse_vrb"	"We felt the heat from the stove diffuse throughout the room."	32	39
"discard"	"discard_nou"	"Annoyed by its persistent malfunctioning, he finally threw away the faulty printer, labeling it nothing more than a worthless discard."	126	133
"discard"	"discard_nou"	"I salvaged parts from an old bike and fashioned a new one using scrap pieces from my discard box."	85	92
"discard"	"discard_nou"	"The restaurant threw away all the food scraps in the discard bin."	53	60
"discard"	"discard_nou"	"It's important to properly dispose of electronic waste instead of just throwing it away as a discard."	93	100
"discard"	"discard_nou"	"All employees were instructed to dispose of their used coffee cups and snack wrappers in the designated discard area."	104	111
"discard"	"discard_vrb"	"After careful consideration, he decided to discard his plans for law school."	43	50
"discard"	"discard_vrb"	"It is recommended by experts to discard makeup brushes every six months."	32	39
"discard"	"discard_vrb"	"Our coach encourages players to discard negative thoughts during practice sessions."	32	39
"discard"	"discard_vrb"	"The company decided to discard the project because it was too expensive."	23	30
"discard"	"discard_vrb"	"They decided to discard the project due to lack of funds."	16	23
"discharge"	"discharge_nou"	"The storm caused significant flooding, which led to the discharge of sewage into local waterways."	56	65
"discharge"	"discharge_nou"	"Following surgery, it took several days for him to fully recover and receive clearance for discharge from his surgeon."	91	100
"discharge"	"discharge_nou"	"The judge ordered the defendant's discharge from prison due to good behavior."	34	43
"discharge"	"discharge_nou"	"His duties at the power plant included monitoring the electrical discharge that occurred during shutdown procedures."	65	74
"discharge"	"discharge_nou"	"She experienced sudden hearing loss and vertigo due to a viral infection that caused inner ear discharge."	95	104
"discharge"	"discharge_vrb"	"The nurse will discharge the patient from the hospital tomorrow morning."	15	24
"discharge"	"discharge_vrb"	"His behavior during training made it necessary for us to discharge him from service."	57	66
"discharge"	"discharge_vrb"	"After years in bankruptcy court, the company finally managed to discharge all its debts."	64	73
"discharge"	"discharge_vrb"	"The electric eel can discharge up to 600 volts of electricity when threatened."	21	30
"discharge"	"discharge_vrb"	"She felt a sudden urge to discharge her emotions and burst into tears."	26	35
"discount"	"discount_nou"	"After some negotiating, they agreed upon a significant discount off the list price."	55	63
"discount"	"discount_nou"	"Check their website for discount codes and coupons before ordering."	24	32
"discount"	"discount_nou"	"Military personnel receive a discount on admission tickets."	29	37
"discount"	"discount_nou"	"The restaurant gives a discount to students with a valid ID."	23	31
"discount"	"discount_nou"	"We received a discount on our hotel room because we booked it in advance."	14	22
"discount"	"discount_vrb"	"She was able to discount her rent by negotiating a longer lease agreement."	16	24
"discount"	"discount_vrb"	"Can you please discount my membership fee since I'm a student?"	15	23
"discount"	"discount_vrb"	"They offered to discount our meal since we had waited over an hour for our food."	16	24
"discount"	"discount_vrb"	"It would be unfair to discount her contributions just because she joined the team late."	22	30
"discount"	"discount_vrb"	"You can discount what I say if you want, but I know what I saw."	8	16
"document"	"document_nou"	"John signed the document without reading it thoroughly."	16	24
"document"	"document_nou"	"I need you to print out two copies of this Word document for me."	48	56
"document"	"document_nou"	"Our team worked tirelessly to create an accurate and detailed project document."	70	78
"document"	"document_nou"	"The document outlined the company's goals and objectives for the upcoming year."	4	12
"document"	"document_nou"	"They compiled all of their research into a comprehensive document for presentation to investors."	57	65
"document"	"document_vrb"	"A notary public can document signatures and authenticate identities."	20	28
"document"	"document_vrb"	"I need you to document everything that happened during the incident."	14	22
"document"	"document_vrb"	"It's important to thoroughly document patient medical history."	29	37
"document"	"document_vrb"	"Scientists must carefully document observations made during fieldwork."	26	34
"document"	"document_vrb"	"We need to document this process for future reference."	11	19
"dove"	"dove"	"As a symbol of hope, a white dove was released at the funeral to represent the deceased's spirit ascending to heaven."	29	33
"dove"	"dove"	"His tattoo depicts a flying dove holding an olive branch – a design chosen for its enduring significance."	28	32
"dove"	"dove"	"She released a white dove into the sky at her wedding, symbolizing peace and love."	21	25
"dove"	"dove"	"The dove flew gently overhead, its soft cooing filling the air."	4	8
"dove"	"dove"	"When I think of my grandmother, I remember the Dove soap she always kept by her sink."	47	51
"dove"	"dove_vrb"	"As the storm raged outside, she dove under the bed, seeking shelter from the thunder and lightning."	32	36
"dove"	"dove_vrb"	"Eager to explore the mysterious cave, we dove inside, our flashlights casting eerie shadows."	41	45
"dove"	"dove_vrb"	"I dove into the pile of leaves, laughing and kicking my feet like a child on a crisp autumn day."	2	6
"dove"	"dove_vrb"	"The bird dove into the water, its wings beating rapidly before it disappeared beneath the surface."	9	13
"dove"	"dove_vrb"	"The seagull dove down to steal food from unsuspecting beachgoers, earning scowls and curses from those who were targeted."	12	16
"duplicate"	"duplicate_adj-nou"	"Do you think they will notice if I submit a duplicate application?"	44	53
"duplicate"	"duplicate_adj-nou"	"Is there any way to prevent duplicate accounts from being created?"	28	37
"duplicate"	"duplicate_adj-nou"	"We should try to minimize the number of duplicate questions."	40	49
"duplicate"	"duplicate_adj-nou"	"The duplicate key was ignored by the database."	4	13
"duplicate"	"duplicate_adj-nou"	"This new machine is just a duplicate of the old one."	27	36
"duplicate"	"duplicate_vrb"	"Can you duplicate this recipe for me? I want to make sure I get it right."	8	17
"duplicate"	"duplicate_vrb"	"How do I duplicate a layer in Photoshop?"	9	18
"duplicate"	"duplicate_vrb"	"The app allows users to duplicate their favorite songs playlists."	24	33
"duplicate"	"duplicate_vrb"	"The machine was able to duplicate the intricate design with ease."	24	33
"duplicate"	"duplicate_vrb"	"We need to duplicate these samples before running any tests."	11	20
"elaborate"	"elaborate_adj"	"He designed an elaborate home security system that included cameras, alarms, and motion sensors."	15	24
"elaborate"	"elaborate_adj"	"His elaborate magic tricks left everyone scratching their heads in amazement."	4	13
"elaborate"	"elaborate_adj"	"The artist created an elaborate sculpture using recycled materials and found objects."	22	31
"elaborate"	"elaborate_adj"	"The chef prepared an elaborate meal for us, including multiple courses and fine wines."	21	30
"elaborate"	"elaborate_adj"	"The park's elaborate light display drew visitors from miles around during the winter months."	11	20
"elaborate"	"elaborate_vrb"	"During the job interview, the candidate was asked to elaborate on their experience working with team projects."	53	62
"elaborate"	"elaborate_vrb"	"It's hard for me to elaborate such complex concepts in simple terms."	20	29
"elaborate"	"elaborate_vrb"	"The teacher asked the students to elaborate on their answers during the class discussion."	34	43
"elaborate"	"elaborate_vrb"	"As the project progressed, the team found themselves having to elaborate on their initial ideas, adapting them to fit unexpected challenges."	63	72
"elaborate"	"elaborate_vrb"	"She took several minutes to elaborate her point of view in front of the board members."	28	37
"entrance"	"entrance_nou"	"A hidden entrance disguised as overgrown foliage allowed access to a secret garden."	9	17
"entrance"	"entrance_nou"	"Employees needed to show their ID cards before entering the building's secure entrance."	78	86
"entrance"	"entrance_nou"	"He waited nervously outside the stage door for his cue to make his entrance."	67	75
"entrance"	"entrance_nou"	"Parents dropped off their kids at the school entrance, bidding them farewell until afternoon pickup."	45	53
"entrance"	"entrance_nou"	"The grand entrance of the hotel lobby was adorned with marble and gold fixtures."	10	18
"entrance"	"entrance_vrb"	"He had an enchanting smile that could entrance anyone he met."	38	46
"entrance"	"entrance_vrb"	"The magician's tricks entrance children and adults alike."	22	30
"entrance"	"entrance_vrb"	"She has this unique ability to entrance people with just one look in her eyes."	31	39
"entrance"	"entrance_vrb"	"He smiled slyly before leaning in closer to entrance me with his sweet scent."	44	52
"entrance"	"entrance_vrb"	"As I walked through the forest, the peaceful ambiance and bird songs seemed to entrance me into a state of deep relaxation."	79	87
"escort"	"escort_nou"	"After being stranded on the side of the road, she called a local mechanic who sent an escort to help her get back home safely."	86	92
"escort"	"escort_nou"	"As part of our luxury package, we were provided with a personal escort for our entire stay at the resort."	64	70
"escort"	"escort_nou"	"In order to attend exclusive events, some people pay thousands per hour for reputable escort agencies' companionship offerings."	86	92
"escort"	"escort_nou"	"She worked as an escort for several years before quitting to pursue her passion for photography."	17	23
"escort"	"escort_nou"	"The wealthy businessman hired an escort to accompany him to the fancy gala."	33	39
"escort"	"escort_vrb"	"As the hostess, it's my job to escort guests to their tables and ensure they have everything they need."	31	37
"escort"	"escort_vrb"	"He offered to escort her home after the party to make sure she got there safely."	14	20
"escort"	"escort_vrb"	"My job is to escort visitors through the museum and answer any questions they have."	13	19
"escort"	"escort_vrb"	"One of us should probably stay behind and lock up while another person goes ahead to escort Sandra inside."	85	91
"escort"	"escort_vrb"	"The hotel staff will happily escort you to your room if you need assistance."	29	35
"estimate"	"estimate_nou"	"According to the latest estimate, the storm caused over $1 billion in damage."	24	32
"estimate"	"estimate_nou"	"Based on past data, our estimate for next year's sales is optimistic."	24	32
"estimate"	"estimate_nou"	"I think we can safely say that our estimate was conservative."	35	43
"estimate"	"estimate_nou"	"Our best estimate is that the project will take about six months to complete."	9	17
"estimate"	"estimate_nou"	"We don't yet have a firm estimate for when the repairs will be completed."	25	33
"estimate"	"estimate_vrb"	"A financial advisor can help estimate your retirement needs."	29	37
"estimate"	"estimate_vrb"	"Experts estimate there might be significant changes in global weather patterns soon."	8	16
"estimate"	"estimate_vrb"	"It's difficult to accurately estimate how long it will take to finish the job without more information."	29	37
"estimate"	"estimate_vrb"	"The technicians estimate that the cost of the repair will be around $500."	16	24
"estimate"	"estimate_vrb"	"The project manager asked her team to estimate how long it would take to complete each task."	38	46
"excuse"	"excuse_nou"	"As usual, John found an excuse to skip class and hangout at the park instead."	24	30
"excuse"	"excuse_nou"	"He gave me some lame excuse about forgetting his wallet when we went out for dinner."	21	27
"excuse"	"excuse_nou"	"His constant lateness became a habitual excuse for him."	40	46
"excuse"	"excuse_nou"	"Inconsistent work hours were his excuse for never showing up to events."	33	39
"excuse"	"excuse_nou"	"She made up an excuse about feeling sick to avoid going to the party."	15	21
"excuse"	"excuse_vrb"	"Can you excuse me for a moment while I take this call?"	8	14
"excuse"	"excuse_vrb"	"Due to time constraints, they chose to excuse him from participating."	39	45
"excuse"	"excuse_vrb"	"May I have your permission to excuse myself early from work today?"	30	36
"excuse"	"excuse_vrb"	"Please excuse my friend; she's not feeling well today."	7	13
"excuse"	"excuse_vrb"	"They had to excuse themselves from the meeting due to an emergency phone call."	12	18
"expatriate"	"expatriate_nou"	"After years of living overseas as an expatriate, he finally decided to return home."	37	47
